1993-01-01 108610 101755 15748
1993-02-01 110447 101484 14439
1993-03-01 110779 98449 22647
1993-04-01 122563 108816 24629
1993-05-01 119513 110279 23439
1993-06-01 113341 105752 23299
1993-07-01 122046 113087 24553
1993-08-01 123344 112950 26144
1993-09-01 121265 108794 26689
1993-10-01 123187 106438 27699
1993-11-01 126469 108916 28758
1993-12-01 126797 105166 32990
1994-01-01 130701 105694 35707
1994-02-01 134285 102914 41656
1994-03-01 138671 99300 51422
1994-04-01 141718 96228 54816
1994-05-01 144110 98396 56339
1994-06-01 147650 98631 58279
1994-07-01 150237 100886 62114
1994-08-01 150991 93366 63131
1994-09-01 146502 88729 67018
1994-10-01 154486 93349 69624
1994-11-01 155923 94612 70112
1994-12-01 154379 91583 68369
1995-01-01 158425 95317 68918
1995-02-01 164240 97755 68975
1995-03-01 169282 101478 74720
1995-04-01 174862 109805 73770
1995-05-01 175362 110466 73360
1995-06-01 178339 111895 71510
1995-07-01 177617 119969 72185
1995-08-01 176937 113256 72190
1995-09-01 174661 108196 71862
1995-10-01 178537 113201 75255
1995-11-01 175270 113382 74622
1995-12-01 173938 110755 74622
